Algoritmo,TipoDeDado,Tamanho,Tempo(us),Comparacoes,Trocas
BubbleSort,Aleatorio,1000,4984,499149,254068
InsertionSort,Aleatorio,1000,745,255059,255062
SelectionSort,Aleatorio,1000,3033,499500,996
MergeSort,Aleatorio,1000,311,8684,9976
QuickSort,Aleatorio,1000,118,10837,6530
BubbleSort,Quase Ordenado,1000,1360,495845,30358
InsertionSort,Quase Ordenado,1000,147,31357,31338
SelectionSort,Quase Ordenado,1000,2960,499500,50
MergeSort,Quase Ordenado,1000,96,7672,9976
QuickSort,Quase Ordenado,1000,74,32936,13412
BubbleSort,Inversamente Ordenado,1000,4893,499500,499500
InsertionSort,Inversamente Ordenado,1000,412,499500,500499
SelectionSort,Inversamente Ordenado,1000,1144,499500,500
MergeSort,Inversamente Ordenado,1000,54,4932,9976
QuickSort,Inversamente Ordenado,1000,632,499500,250499
BubbleSort,Aleatorio,5000,35178,12488184,6258333
InsertionSort,Aleatorio,5000,3363,6263323,6263325
SelectionSort,Aleatorio,5000,22925,12497500,4993
MergeSort,Aleatorio,5000,392,55271,61808
QuickSort,Aleatorio,5000,208,67961,37307
BubbleSort,Quase Ordenado,5000,11213,12448672,713132
InsertionSort,Quase Ordenado,5000,487,718131,718101
SelectionSort,Quase Ordenado,5000,23712,12497500,250
MergeSort,Quase Ordenado,5000,220,51379,61808
QuickSort,Quase Ordenado,5000,304,226027,147403
BubbleSort,Inversamente Ordenado,5000,66500,12497500,12497500
InsertionSort,Inversamente Ordenado,5000,6880,12497500,12502499
SelectionSort,Inversamente Ordenado,5000,23340,12497500,2500
MergeSort,Inversamente Ordenado,5000,188,29804,61808
QuickSort,Inversamente Ordenado,5000,12682,12497500,6252499
BubbleSort,Aleatorio,10000,158763,49987740,24956060
InsertionSort,Aleatorio,10000,14259,24966048,24966050
SelectionSort,Aleatorio,10000,93531,49995000,9994
MergeSort,Aleatorio,10000,793,120491,133616
QuickSort,Aleatorio,10000,432,147240,83399
BubbleSort,Quase Ordenado,10000,42820,49911564,3092518
InsertionSort,Quase Ordenado,10000,2000,3102517,3102485
SelectionSort,Quase Ordenado,10000,94092,49995000,500
MergeSort,Quase Ordenado,10000,441,111528,133616
QuickSort,Quase Ordenado,10000,448,385542,181828
BubbleSort,Inversamente Ordenado,10000,268572,49995000,49995000
InsertionSort,Inversamente Ordenado,10000,28291,49995000,50004999
SelectionSort,Inversamente Ordenado,10000,94583,49995000,5000
MergeSort,Inversamente Ordenado,10000,365,64608,133616
QuickSort,Inversamente Ordenado,10000,51704,49995000,25004999
BubbleSort,Aleatorio,20000,765382,199975294,99251503
InsertionSort,Aleatorio,20000,57045,99271492,99271495
SelectionSort,Aleatorio,20000,373250,199990000,19995
MergeSort,Aleatorio,20000,1710,260909,287232
QuickSort,Aleatorio,20000,929,333286,173275
BubbleSort,Quase Ordenado,20000,171242,199734030,12064482
InsertionSort,Quase Ordenado,20000,7446,12084479,12084443
SelectionSort,Quase Ordenado,20000,375226,199990000,1000
MergeSort,Quase Ordenado,20000,939,244669,287232
QuickSort,Quase Ordenado,20000,2479,1692665,1327367
BubbleSort,Inversamente Ordenado,20000,1060319,199990000,199990000
InsertionSort,Inversamente Ordenado,20000,111881,199990000,200009999
SelectionSort,Inversamente Ordenado,20000,376981,199990000,10000
MergeSort,Inversamente Ordenado,20000,775,139216,287232
QuickSort,Inversamente Ordenado,20000,203086,199990000,100009999
BubbleSort,Aleatorio,50000,5312874,1249956085,624998278
InsertionSort,Aleatorio,50000,356275,625048263,625048267
SelectionSort,Aleatorio,50000,2262147,1249975000,49988
MergeSort,Aleatorio,50000,4152,718136,784464
QuickSort,Aleatorio,50000,2429,955066,500911
BubbleSort,Quase Ordenado,50000,1108234,1248700594,76266182
InsertionSort,Quase Ordenado,50000,44745,76316181,76316164
SelectionSort,Quase Ordenado,50000,2253017,1249975000,2500
MergeSort,Quase Ordenado,50000,2324,674247,784464
QuickSort,Quase Ordenado,50000,3812,3108937,1898890
BubbleSort,Inversamente Ordenado,50000,6313509,1249975000,1249975000
InsertionSort,Inversamente Ordenado,50000,718688,1249975000,1250024999
SelectionSort,Inversamente Ordenado,50000,2247983,1249975000,25000
MergeSort,Inversamente Ordenado,50000,1697,382512,784464
QuickSort,Inversamente Ordenado,50000,1239813,1249975000,625024999
